"","X","original_title","original_language","adult","backdrop_path","homepage","id","imdb_id","rent_options","buy_options","flatrate_options","all_uniq_providers","All_providers_nos","Rent_providers_nos","Buy_providers_nos","Stream_providers_nos","poster_path","release_date","status","title","video","genre","production_companies","belongs_to_collection","spoken_languages","production_countries","keywords","director","moreThan1ProductionCountry","moreThan1Genre","moreThan1ProductionCompany","moreThan1Keyword","moreThan1Director","moreThanSpokenLanguage","release_d","release_year","taglinepresent","collectionyes","revenue","budget","runtime","popularity","vote_average","vote_count","review_count","cast_size","crew_size","release_month","Imdb_Rating","Imdb_vote_count","profit_factor","Target","directedByAPopular","belongs_to_topProfitProdComp","avg_coll_revenue.x","avg_coll_revenue.y","release_week","movies_released_same_week","belongs_to_topProfitGenres","avg_rev_by_crew_size","avg_rev_by_cast_size","cast_crew_ratio","holidaymonth","costPerCapita"
"485",5863,"Vertical","es",FALSE,"","https://www.youtube.com/watch?v=Ibt175sXdqU&t=1s",690652,"","","","","",0,0,0,0,"/ecaTnOw1y7lmeX4PBAH1GmO89px.jpg","4/6/2017","Released","Vertical",FALSE,"Comedy ","","","es,","","","Guillermo Lorenzana Torns ",0,1,0,0,0,0,2017-04-06,"2017",0,0,10,20,7,0.6,3,0,3,2,3,4,6.3,36,-50,0,0,0,45072822.2708924,45072822.2708924,"14",121,1,29673379.7792208,44110052.5939716,0.666666666666667,0,4
"486",5883,"The Enemies","ru",FALSE,"","",687939,"tt7266820","Amazon Video,","Amazon Video,","Amazon Prime Video,","Amazon Prime Video, Amazon Video",2,1,1,1,"/kF5hlsROc2XfVJ0IwoGfpVnr90j.jpg","5/16/2017","Released","The Enemies",FALSE,"","","","ru,","","","Ellen Ugelstad ",0,0,0,0,0,0,2017-05-16,"2017",1,0,365971656,17500,65,0.6,8.5,2,4,91,8,5,7.4,10,2091166.60571429,1,0,0,45072822.2708924,45072822.2708924,"20",124,1,34810055.4709677,235186700.333333,14,0,391.666666666667
"487",5891,"Wrong Way Driving","zh",FALSE,"/otpID2kuWSzePqNJ0CiBw6Gz94b.jpg","",686453,"tt10515862","","","","",0,0,0,0,"/yfRh5At0ss9sNvwfnaj3aimbrLm.jpg","5/19/2017","Released","Wrong Way Driving",FALSE,"Action ","Zhongsheng Innovation (Beijing) Culture Communication Co. ","","zh,cn,","CN ","mystery ","Yan Xue-Kai ",0,1,0,1,0,1,2017-05-19,"2017",1,0,6184,14000000,98,0.6,8,1,2,7,8,5,4.8,14317,-99.9558285714286,0,0,0,45072822.2708924,45072822.2708924,"20",124,1,34810055.4709677,42580617.5681063,0.875,0,933333.333333333
"488",5915,"How I Killed My Brother","en",FALSE,"","https://m.youtube.com/watch?v=qMsLvnuN4lo",682540,"","","","","",0,0,0,0,"/ieJdaQ9HP8ogeRjKkalmdByOOH9.jpg","5/20/2017","Released","How I Killed My Brother",FALSE,"War ","","","en,","","civil war ","Joe Wilcox ",0,1,0,1,0,0,2017-05-20,"2017",1,0,1,1,5,0.6,2.5,0,1,2,1,5,5.3,26170,0,0,0,0,45072822.2708924,45072822.2708924,"20",124,1,44533579.3385301,44110052.5939716,2,0,0.333333333333333
"489",5920,"Eureka!!","pt",FALSE,"","",681598,"","","","","",0,0,0,0,"/jVa2ADFdAQ2eXvJ2uk9IPQwYTYU.jpg","5/24/2017","Released","Eureka!!",FALSE,"Adventure ","","","pt,","BR ","maçã ","Paulo Barretto ",0,1,0,0,0,0,2017-05-24,"2017",0,0,12000000,1,80,0.6,10,1,35,5,3,5,3.8,752,1199999900,1,0,0,45072822.2708924,45072822.2708924,"21",100,1,29673379.7792208,36882370.2920696,1.66666666666667,0,0.125
"490",5921,"Socialless","pt",FALSE,"","",681597,"","","","","",0,0,0,0,"/nMkCMjVto3hWKHoWQwVqddcqOYg.jpg","5/24/2017","Released","Socialless",FALSE,"Documentary ","","","pt,","","","Paulo Barretto ",0,0,0,0,0,0,2017-05-24,"2017",0,0,1096179,1,7,0.6,10,1,2,1,4,5,5.3,48407,109617800,1,0,0,45072822.2708924,45072822.2708924,"21",100,1,28656711.7981439,58604971.7751756,0.25,0,0.2
"491",5922,"Santa Clarinha Diet","pt",FALSE,"","",681590,"","","","","",0,0,0,0,"/aHPPKjmTIuAyq0xVAST4lQjIgdY.jpg","4/19/2017","Released","Santa Clarinha Diet",FALSE,"Comedy ","","","pt,","BR ","","Paulo Barretto ",0,0,0,0,0,0,2017-04-19,"2017",0,0,12841,5,92,0.6,6.1,0,2,3,5,4,5,40,256720,1,0,0,45072822.2708924,45072822.2708924,"16",122,1,49369049.8661417,46409225.8003328,0.6,0,0.625
"492",5932,"My Dad Matthew","en",FALSE,"","https://www.wildasperagusproductions.com/",679970,"tt8200030","","","","",0,0,0,0,"/2TMh3kyyT0Bw6yqZWXDlPlAgsQr.jpg","2/2/2017","Released","My Dad Matthew",FALSE,"Documentary ","","","","","","John Schaffer ",0,0,0,0,0,0,2017-02-02,"2017",0,0,450,5000,6,0.6,8,0,2,2,4,2,4.4,35733,-91,0,0,0,45072822.2708924,45072822.2708924,"05",112,1,28656711.7981439,44110052.5939716,0.5,0,833.333333333333
"493",5933,"Aurora","es",FALSE,"","https://aurorashortfilm.jimdosite.com/",679767,"tt8948048","","","","",0,0,0,0,"/2ql80bHhNAZ7Jxo03GxbhOTgnkz.jpg","3/26/2017","Released","Aurora",FALSE,"Drama ","New York Film Academy ","","es,","","","Josué R ",0,0,1,0,0,0,2017-03-26,"2017",1,0,48701,3000,5,0.6,8,1,2,5,3,3,7.4,3567,1523.36666666667,1,0,0,45072822.2708924,45072822.2708924,"12",114,1,29673379.7792208,36882370.2920696,1.66666666666667,0,375
"494",5966,"The Novice","en",FALSE,"","",670300,"tt6856570","","","","",0,0,0,0,"","5/9/2017","Released","The Novice",FALSE,"Comedy ","","","en,","US ","short ","Nathan Schiele ",0,0,0,0,0,0,2017-05-09,"2017",0,0,4139731,50,5,0.6,1,0,1,2,10,5,6.8,966,8279362,1,0,0,45072822.2708924,45072822.2708924,"19",103,1,54533781.5637066,44110052.5939716,0.2,0,4.16666666666667
"495",5971,"Llanganati","es",FALSE,"","",668327,"tt11088390","","","","",0,0,0,0,"/s6P98WSZ9DtX9BT7rtO6DoZzvFw.jpg","4/19/2017","Released","Llanganati",FALSE,"Documentary ","Cabezahueca Producciones ","","es,","EC ","treasure hunt ","Jorge Juan Anhalzer ",0,1,0,1,0,0,2017-04-19,"2017",0,0,122637878,100000,65,0.6,7,0,1,1,11,4,6.3,19875,122537.878,1,0,0,45072822.2708924,45072822.2708924,"16",122,1,39138517.6470588,58604971.7751756,0.0909090909090909,0,8333.33333333333
"496",6010,"The Boundary","en",FALSE,""," ",660702,"tt6095714","","","","",0,0,0,0,"/lroodbQVq5ikD6GjM7M9tnNUPIu.jpg","2/15/2017","Released","The Boundary",FALSE,"Drama ","","","en,","","","Evan Hara ",0,1,0,0,0,0,2017-02-15,"2017",1,0,2536753,20000,47,0.6,4.3,4,2,3,3,2,5.1,22,12583.765,1,0,0,45072822.2708924,45072822.2708924,"07",118,1,29673379.7792208,46409225.8003328,1,0,3333.33333333333
"497",6016,"I’m Trying To Impress You","en",FALSE,"/yRQfpv8362BVLWI28NLXfUm3D7W.jpg","http://www.imtryingtoimpressyou.com",659960,"tt5069022","","","","",0,0,0,0,"","4/7/2017","Released","I’m Trying To Impress You",FALSE,"Romance ","Valentine Street Productions ","","en,","US ","romantic comedy ","Taylor Phillips ",0,1,1,1,0,0,2017-04-07,"2017",0,0,20000,2000,105,0.6,6.1,0,1,8,2,4,4.1,118,900,1,0,0,45072822.2708924,45072822.2708924,"14",121,1,56027727.4550265,41345637.8576642,4,0,200
"498",6023,"Queen Anne's Lace","en",FALSE,"","",657118,"tt5086336","","","","",0,0,0,0,"","3/4/2017","Released","Queen Anne's Lace",FALSE,"","","","","","","Emilie McDonald ",0,0,0,0,0,0,2017-03-04,"2017",0,0,130234661,40000,73,0.6,5.5,0,1,2,4,3,6.3,34592,325486.6525,1,0,0,45072822.2708924,45072822.2708924,"09",149,1,28656711.7981439,44110052.5939716,0.5,0,50
"499",6035,"Apagado","pt",FALSE,"","",652664,"","","","","",0,0,0,0,"/4UbT9oRmVy9OP5qpo6QByvwO1ZR.jpg","2/27/2017","Released","Apagado",FALSE,"Horror ","","","","BR ","","Paulo Barretto ",0,1,0,0,0,0,2017-02-27,"2017",0,0,6000000,1,10,0.6,10,1,9,3,4,2,5.9,122,599999900,1,0,0,45072822.2708924,45072822.2708924,"09",149,1,28656711.7981439,46409225.8003328,0.75,0,0.142857142857143
"500",6043,"Crowhaven","en",FALSE,"","",651409,"tt7298240","","","","",0,0,0,0,"","3/12/2017","Released","Crowhaven",FALSE,"Thriller ","Colossal Films ","","en,","US ","mystery man ","Ethan Feaster ",0,1,0,0,0,0,2017-03-12,"2017",1,0,11942780,597,134,0.6,7.2,0,4,1,1,3,6.8,16301,2000365.66164154,1,0,0,45072822.2708924,45072822.2708924,"10",137,1,44533579.3385301,58604971.7751756,1,0,298.5
"501",6046,"Moment of Truth","en",FALSE,"","http://momentoftruthmovie.com/",650075,"tt5355868","Amazon Video,","Amazon Video,","Amazon Prime Video,WWE Network,","WWE Network, Amazon Prime Video, Amazon Video",3,1,1,2,"/dO22q1B4vsuqFXsKARCUncfvf49.jpg","4/26/2017","Released","Moment of Truth",FALSE,"","","","","","","Drew Christie ",0,0,0,0,0,0,2017-04-26,"2017",0,0,371528,2100,83,0.6,10,0,1,2,17,4,4.8,17,17591.8095238095,1,0,0,45072822.2708924,45072822.2708924,"17",112,1,32851298.0943396,44110052.5939716,2.33333333333333,0,912408.759124088
"502",6086,"Extra Credit","en",FALSE,"/zrNjn1uf99vaptSrEIhWBtEOlYD.jpg","",640708,"","","","","",0,0,0,0,"/sbkbUiyL62GtbcmBJyHuOuaqGW6.jpg","4/7/2017","Released","Extra Credit",FALSE,"Drama ","","","","","","Alec Christensen ",0,0,0,0,0,0,2017-04-07,"2017",0,0,502,10000000,62,0.6,6.6,0,2,6,6,4,7,8,-99.99498,0,0,0,45072822.2708924,45072822.2708924,"14",121,1,36876511.0084034,30748111.2213542,1,0,833333.333333333
"503",6225,"Frettin'","en",FALSE,"","",634059,"tt7831678","Amazon Video,Pantaflix,","Amazon Video,","Amazon Prime Video,","Pantaflix, Amazon Prime Video, Amazon Video",3,2,1,1,"/imQ09QYPjjvyh86j8MPJnCGU1NR.jpg","3/26/2017","Released","Frettin'",FALSE,"","","","","","","Subigya Sunder Shrestha ",0,0,0,0,0,0,2017-03-26,"2017",1,0,7928149,25000,104,0.6,10,1,3,56,10,3,6.6,36,31612.596,1,0,0,45072822.2708924,45072822.2708924,"12",114,1,54533781.5637066,33509886.8,0.833333333333333,0,340000
"504",6237,"نبرد خلیج فارس ۲","fa",FALSE,"","http://www.kosar3d.ir/fa/animation/7/",631535,"tt6975620","","","","",0,0,0,0,"/kB0ozCwUCphYc19K9BmWR9jQcTd.jpg","2/18/2017","Released","Battle of the Persian Gulf II",FALSE,"Animation ","Fatima Zahra Animation Studios ","","fa,","IR ","","Farhad Azima ",0,1,0,0,0,0,2017-02-18,"2017",0,0,1785977,308000,89,0.6,5,0,1,60,3,2,6.6,52,479.862662337662,1,0,0,45072822.2708924,45072822.2708924,"07",118,1,29673379.7792208,63043720.2631579,20,0,11.8181818181818
"505",6243,"Son of Perdition","en",FALSE,"","",629822,"tt5531994","","","","",0,0,0,0,"/flgJLhe31qGL3AQie9WeOd2d22m.jpg","3/19/2017","Released","Son of Perdition",FALSE,"Thriller ","","","","","","Matthew Harrison ",0,0,0,0,0,0,2017-03-19,"2017",1,0,171616764,4863,10,0.6,10,0,8,6,1,3,8.2,5,3528930.72177668,1,0,0,45072822.2708924,45072822.2708924,"11",137,1,44533579.3385301,30748111.2213542,6,0,694.714285714286
"506",6244,"La Sra. Haidi","es",FALSE,"/a23OJE5QMVX8RVzrSn96Aa0CIwF.jpg","",629380,"","","","","",0,0,0,0,"/cwrP0xCT9n3ofOOBWutDTXifdu4.jpg","3/15/2017","Released","La Sra. Haidi",FALSE,"Horror ","MR FILM ","","es,","","","Matthew Harrison ",0,0,0,0,0,0,2017-03-15,"2017",0,0,8468,1000000,107,0.6,8,1,3,4,5,3,5.5,8,-99.1532,0,0,0,45072822.2708924,45072822.2708924,"11",137,1,49369049.8661417,46591326.2972973,0.8,0,111111.111111111
"507",6249,"Fyret","no",FALSE,"","",628152,"tt6246694","","","","",0,0,0,0,"/kC8L6idyNM9gzW5UiuhbV7VKWen.jpg","5/28/2017","Released","The Lighthouse",FALSE,"Drama ","Fyrlys film ","","no,","NO ","","Silje Helene Smestad ",0,0,0,0,0,0,2017-05-28,"2017",0,0,1632440,500,20,0.6,5.5,0,1,3,8,5,8.1,8,326388,1,0,0,45072822.2708924,45072822.2708924,"21",100,1,34810055.4709677,46409225.8003328,0.375,0,45.4545454545455
"508",6250,"Hamah","en",FALSE,"","",627802,"tt6568410","","","","",0,0,0,0,"","2/23/2017","Released","Hamah",FALSE,"Drama ","","","ar,","","","Silje Helene Smestad ",0,0,0,0,0,0,2017-02-23,"2017",0,0,8357,14000000,65,0.6,7,0,1,13,4,2,7.8,90,-99.9403071428571,0,0,0,45072822.2708924,45072822.2708924,"08",97,1,28656711.7981439,50850760.6036585,0.15,0,1562500
"509",6299,"O Taareee","en",FALSE,"","",617888,"tt7132948","","","","",0,0,0,0,"/4XOdfIbhSIEUGQkpJj7iL0whqoN.jpg","3/3/2017","Released","O Taareee",FALSE,"Mystery ","Mark Entertainment ","","en,gu,","IN ","politics ","Tapan Vyas ",0,1,0,1,0,1,2017-03-03,"2017",0,0,7500,220000,121,0.6,10,0,1,4,4,3,5.2,9,-96.5909090909091,0,0,0,45072822.2708924,45072822.2708924,"09",149,1,28656711.7981439,46591326.2972973,1,0,27500
"510",6322,"Mr Prime Minister","en",FALSE,"","",613079,"tt6747398","","","","",0,0,0,0,"","5/12/2017","Released","Mr Prime Minister",FALSE,"Mystery ","Klique Productions ","","","GB ","","Dominic Hodge ",0,0,0,0,0,0,2017-05-12,"2017",1,0,100000,377,10,0.6,10,0,1,3,10,5,5.9,25881,26425.198938992,1,0,0,45072822.2708924,45072822.2708924,"19",103,1,54533781.5637066,46409225.8003328,0.3,0,29
"511",6323,"The Borer","en",FALSE,"/aBv1bXSAPATISJ3h1gHuAqMqlrn.jpg","https://www.kickstarter.com/projects/reddenimproductions/the-borer",612861,"tt6773068","","","","",0,0,0,0,"","5/10/2017","Released","The Borer",FALSE,"Thriller ","Red Denim Productions ","","","GB ","","Dominic Hodge ",0,0,0,0,0,0,2017-05-10,"2017",0,0,17,188,30,0.6,7,0,3,5,13,5,6,121,-90.9574468085106,0,0,0,45072822.2708924,45072822.2708924,"19",103,1,40889803.5944056,36882370.2920696,0.384615384615385,0,10.4444444444444
"512",6324,"Draugur","en",FALSE,"","",612825,"tt6772352","","","","",0,0,0,0,"/rsrQOYZQSgC9GO7mS3puGZj5jmA.jpg","5/10/2017","Released","Draugur",FALSE,"Mystery ","Dead Yeti Productions ","","","GB ","paranormal ","Robert J. Fraser ",0,0,0,1,0,0,2017-05-10,"2017",1,0,190514361,37,10,0.6,8,1,5,5,9,5,7.4,501,514903578.378378,1,0,0,45072822.2708924,45072822.2708924,"19",103,1,35081845.7022901,36882370.2920696,0.555555555555556,0,2.64285714285714
"513",6344,"New York Masalı","tr",FALSE,"/8oNIHevf432cTCLg5agjP4dtnqS.jpg","",608439,"tt5300754","","","","",0,0,0,0,"/6ekI5x1qggsoCsZgPVsGIlKbAii.jpg","5/19/2017","Released","New York Masalı",FALSE,"Romance ","","","tr,","TR ","","Doğan Özmekik ",0,1,0,0,0,0,2017-05-19,"2017",1,0,500,1,99,0.6,8,0,4,3,1,5,4.9,67,49900,1,0,0,45072822.2708924,45072822.2708924,"20",124,1,44533579.3385301,46409225.8003328,3,0,0.25
"514",6345,"Hızlı ve Tüplü","en",FALSE,"","",608435,"tt5671248","","","","",0,0,0,0,"/yng2tomLYILQPein2XtppUE6hu8.jpg","5/19/2017","Released","Hızlı ve Tüplü",FALSE,"","","","","","","Doğan Özmekik ",0,0,0,0,0,0,2017-05-19,"2017",1,0,25,1,90,0.6,7.3,0,6,17,36,5,3,25,2400,1,0,0,45072822.2708924,45072822.2708924,"20",124,1,19625553.5357143,32079926.9333333,0.30188679245283,0,219.512195121951
"515",6354,"Pisadeira","pt",FALSE,"","",606921,"tt9659322","","","","",0,0,0,0,"/2iZvRjIvYHdEgKh9LzdRxvhg4tH.jpg","4/4/2017","Released","Pisadeira",FALSE,"Horror ","Lógica Filmes ","","pt,","","urban legend ","Gabriel Paz ",0,1,0,0,0,0,2017-04-04,"2017",0,0,338300,55,74,0.6,7.1,0,5,8,11,4,7.4,535,614990.909090909,1,0,0,45072822.2708924,45072822.2708924,"14",121,1,39138517.6470588,41345637.8576642,0.727272727272727,0,2.89473684210526
"516",6367,"The Night...","en",FALSE,"/gtgcrKE4l1HHhHX0axETP2lHCTk.jpg","https://www.youtube.com/watch?v=RcZ2DzbQzb0",603979,"","","","","",0,0,0,0,"/a4fxr7ksMKIbzWbOmNa9uWOT4nI.jpg","4/24/2017","Released","The Night...",FALSE,"Drama ","","","","US ","depression ","Kenneth Patterson ",0,0,0,1,0,0,2017-04-24,"2017",1,0,30071,10,4,0.6,10,1,1,4,4,4,6.4,12062,300610,1,0,0,45072822.2708924,45072822.2708924,"17",112,1,28656711.7981439,46591326.2972973,1,0,1.25
"517",6376,"Untouched","en",FALSE,"","",602652,"tt2265651","Apple iTunes,Google Play Movies,Amazon Video,YouTube,Vudu,","Apple iTunes,Google Play Movies,Amazon Video,YouTube,Vudu,","Amazon Prime Video,","Vudu, Google Play Movies, Amazon Prime Video, Apple iTunes, YouTube, Amazon Video",6,5,5,1,"/ibu6Lx9dVsNJ0PTLNYhspGuWg2K.jpg","3/2/2017","Released","Untouched",FALSE,"Drama ","","","","","","Raphael Vieira ",0,1,0,0,0,0,2017-03-02,"2017",1,0,31626978,100,80,0.6,10,0,1,2,1,3,5.7,129,31626878,1,0,0,45072822.2708924,45072822.2708924,"09",149,1,44533579.3385301,44110052.5939716,2,0,33.3333333333333
"518",6410,"Drop Dead, Gorgeous","en",FALSE,"/1kmHTOdH8ssDET05OX4mcxNG9IY.jpg","",598407,"","","","","",0,0,0,0,"/o5eNjo6K342ftiuUIwnImYiFMvf.jpg","2/14/2017","Released","Drop Dead, Gorgeous",FALSE,"Crime ","Chinatown Studios ","","en,","US ","detective ","Angus Jackson ",0,1,1,1,0,0,2017-02-14,"2017",1,0,579220560,50,22,0.6,10,1,3,8,5,2,7.2,7,1158441020,1,0,0,45072822.2708924,45072822.2708924,"07",118,1,49369049.8661417,41345637.8576642,1.6,0,3.84615384615385
"519",6474,"Bangalore","en",FALSE,"","",592520,"tt5793206","","","","",0,0,0,0,"/yXfEVDbpElD928bimW6coyzb5xx.jpg","5/27/2017","Released","Bangalore",FALSE,"","","","en,","","","Alfonso Johnson ",0,0,0,0,0,0,2017-05-27,"2017",0,0,15874097,250,30,0.6,2,0,1,4,3,5,4.7,29336,6349538.8,1,0,0,45072822.2708924,45072822.2708924,"21",100,1,29673379.7792208,46591326.2972973,0.875,0,35.7142857142857
"520",6480,"Gridlock","en",FALSE,"/5JToW3EtOMCJaDtlfIGLZ1Jru7m.jpg","",591872,"tt5638178","Google Play Movies,Amazon Video,YouTube,","Google Play Movies,Amazon Video,YouTube,","Amazon Prime Video,","Google Play Movies, Amazon Prime Video, YouTube, Amazon Video",4,3,3,1,"/9Vd0JYRH4DR8c9jSQQ2o9NkKIE0.jpg","4/26/2017","Released","Gridlock",FALSE,"Drama ","","","en,","US ","","Daniel Imperiale ",0,0,0,0,0,0,2017-04-26,"2017",1,0,15200000,500000,79,0.6,7,1,14,3,1,4,6.9,30,2940,1,0,0,45072822.2708924,45072822.2708924,"17",112,1,44533579.3385301,46409225.8003328,3,0,125000
"521",6495,"A Product of Me","en",FALSE,"","",589190,"tt3347374","","","","",0,0,0,0,"/b3ZNeBXURjMGqmY9pFf3LOEJYX7.jpg","3/23/2017","Released","A Product of Me",FALSE,"Drama ","Atlanta Dream Team Productions ","","en,","US ","friendship ","Jeral Clyde Jr. ",0,0,1,1,0,0,2017-03-23,"2017",1,0,29258,5000,80,0.6,6.1,0,1,21,15,3,8,8,485.16,1,0,0,45072822.2708924,45072822.2708924,"12",114,1,66837487.1796875,24062060.3968254,1.4,0,138.888888888889
"522",6517,"Mons Multes Sommer","en",FALSE,"","",584426,"tt7365392","","","","",0,0,0,0,"","5/30/2017","Released","Mons Multes Sommer",FALSE,"Action ","","","no,","NO ","","Simen Westgaard ",0,0,0,0,0,0,2017-05-30,"2017",0,0,8,200,11,0.6,6,0,2,4,3,5,4.8,8081,-96,0,0,0,45072822.2708924,45072822.2708924,"22",112,1,29673379.7792208,46591326.2972973,1.33333333333333,0,28.5714285714286
"523",6530,"Salad Days","en",FALSE,"/hvJuA4pAXmyyEIW4yutEN7sZ5HU.jpg","",582079,"tt6344678","","","","",0,0,0,0,"/pHWGxb2r4Yq6ysxPl9nl07eCESo.jpg","4/12/2017","Released","Salad Days",FALSE,"Comedy ","Sage Stone Productions ","","en,","CA ","high school ","Nathan Bergs ",0,1,0,1,0,0,2017-04-12,"2017",0,0,5000,2500,24,0.6,10,0,1,6,30,4,8.6,5,100,1,0,0,45072822.2708924,45072822.2708924,"15",107,1,46237518.6666667,30748111.2213542,0.2,0,69.4444444444444
"524",6568,"Active Shooter","en",FALSE,"","http://www.dhs.gov/active-shooter-preparedness",576819,"tt6659294","","","","",0,0,0,0,"","4/1/2017","Released","Active Shooter",FALSE,"Documentary ","U.S. Department of Homeland Security ","","en,","US ","","Connor Patrick Griffin ",0,1,0,0,0,0,2017-04-01,"2017",1,0,250000,150000,90,0.6,6.8,0,1,17,9,4,4.4,3421,66.6666666666667,1,0,0,45072822.2708924,45072822.2708924,"13",96,1,35081845.7022901,32079926.9333333,1.88888888888889,0,5769.23076923077
"525",6569,"Run, Hide, Fight","en",FALSE,"","http://www.dhs.gov/private-citizen",576817,"tt6684270","","","","",0,0,0,0,"","5/1/2017","Released","Run, Hide, Fight",FALSE,"Documentary ","U.S. Department of Homeland Security ","","en,","","survival ","Connor Patrick Griffin ",0,1,0,1,0,0,2017-05-01,"2017",1,0,88000,50000,15,0.6,6.7,0,2,4,4,5,8.6,64,76,1,0,0,45072822.2708924,45072822.2708924,"18",125,1,28656711.7981439,46591326.2972973,1,0,6250
"526",6615,"Allegra La Ballerina","en",FALSE,"","http://www.culturepit.org/",566755,"","","","","",0,0,0,0,"/qEk5M8wepOo6oQqWVHkX2EhLe3Q.jpg","2/12/2017","Released","Allegra La Ballerina",FALSE,"","","","","","","Steven Clarke ",0,0,0,0,0,0,2017-02-12,"2017",1,0,439418,200,5,0.6,10,1,2,2,6,2,6.3,204,219609,1,0,0,45072822.2708924,45072822.2708924,"06",91,1,36876511.0084034,44110052.5939716,0.333333333333333,0,25
"527",6628,"America; I Too","en",FALSE,"/oHudJvqTFC5N2a5kgxvK7F66VFo.jpg","https://www.newday.com/film/america-i-too",565208,"tt6688844","","","","",0,0,0,0,"","3/6/2017","Released","America; I Too",FALSE,"Documentary ","","","en,","US ","short ","Anike Tourse ",0,0,0,0,0,0,2017-03-06,"2017",1,0,2748,70865,21,0.6,5.9,0,1,1,3,3,8.1,10,-96.1222041910675,0,0,0,45072822.2708924,45072822.2708924,"10",137,1,29673379.7792208,58604971.7751756,0.333333333333333,0,17716.25
"528",6650,"Кэрэл: Көстүбэт кэрэ","ru",FALSE,"","",559033,"","","","","",0,0,0,0,"/2V6WBHhdAb5MuOhMCsOZDVcpc7W.jpg","2/2/2017","Released","Кэрэл: Көстүбэт кэрэ",FALSE,"Romance ","","","ru,","RU ","pop singer ","Valentin Makarov ",0,0,0,1,0,0,2017-02-02,"2017",0,0,140008,18000000,73,0.6,1,1,2,11,9,2,7.1,8,-99.2221777777778,0,0,0,45072822.2708924,45072822.2708924,"05",112,1,35081845.7022901,41953455.826087,1.22222222222222,0,900000
"529",6653,"Endling","de",FALSE,"/gyDw6dZLWm2P15RWnA9DnXfBGyb.jpg","",558886,"tt6116774","","","","",0,0,0,0,"/bIo76UvhwZDC1MaYb3ArEbfTanH.jpg","2/25/2017","Released","Endling",FALSE,"Drama ","Donndorffilm ","","de,","DE ","","Alex Schaad ",0,0,0,0,0,0,2017-02-25,"2017",0,0,1253654,50000,30,0.6,6.8,0,3,3,6,2,7.8,11,2407.308,1,0,0,45072822.2708924,45072822.2708924,"08",97,1,36876511.0084034,46409225.8003328,0.5,0,5555.55555555556
"530",6674,"Ami Je Ke Tomar","bn",FALSE,"/6SYR3JfFAaHdpJTxEjvJZliJSAb.jpg","",556179,"tt6975046","","","Hotstar,","Hotstar",1,0,0,1,"/cLbye2Kfh6fvObKcMpnX18YzbJu.jpg","5/19/2017","Released","Ami Je Ke Tomar",FALSE,"Romance ","SVF Entertainment ","","bn,en,","IN ","","Rabi Kinagi ",0,1,0,0,0,1,2017-05-19,"2017",1,0,2,4,136,0.6,3,1,2,3,1,5,5,139,-50,0,0,0,45072822.2708924,45072822.2708924,"20",124,1,44533579.3385301,46409225.8003328,3,0,1
"531",6681,"Oswald","en",FALSE,"","http://www.masoncadepacker.com",554894,"tt7406452","","","","",0,0,0,0,"/3W95tyOQnxjer6NCHIBkZWkhYfh.jpg","5/19/2017","Released","Oswald",FALSE,"","","","","NZ ","","Mason Cade Packer ",0,0,0,0,0,0,2017-05-19,"2017",1,0,29819114,50,11,0.6,5.7,0,4,2,4,5,6.1,7784,59638128,1,0,0,45072822.2708924,45072822.2708924,"20",124,1,28656711.7981439,44110052.5939716,0.5,0,8.33333333333333
"532",6683,"Todo acaba al final del día","es",FALSE,"","",554741,"tt6639418","","","","",0,0,0,0,"/mn7ef1UT0d0AxMvJWTyskFuneEe.jpg","3/10/2017","Released","Todo acaba al final del día",FALSE,"Drama ","Menos es Más Producciones ","","es,","ES ","secret ","Juan José Patón ",0,1,0,1,0,0,2017-03-10,"2017",0,0,7793,150,96,0.6,8,1,1,9,26,3,6.9,12,5095.33333333333,1,0,0,45072822.2708924,45072822.2708924,"10",137,1,68367635.6590909,50839762.6893617,0.346153846153846,0,4.28571428571429
"533",6704,"Sounds of the Summer","en",FALSE,"/6zbNtY1EucHwndH1lRnGmUxJM5g.jpg","",551630,"","","","","",0,0,0,0,"/qAdCMH8tBmjND4oCEoqBIoDyX8C.jpg","5/26/2017","Released","Sounds of the Summer",FALSE,"Documentary ","Mamie Jock Music Group ","","en,","US ","music ","Travis Houze ",0,1,1,1,0,0,2017-05-26,"2017",1,0,214215889,5000,19,0.6,6,0,1,8,4,5,6.1,57,4284217.78,1,0,0,45072822.2708924,45072822.2708924,"21",100,1,28656711.7981439,41345637.8576642,2,0,416.666666666667
"534",6716,"The Imbalancing Act","en",FALSE,"","",549965,"tt6587930","","","","",0,0,0,0,"/ermKqPv2u9flG2VBOTCT1xUNXWD.jpg","5/8/2017","Released","The Imbalancing Act",FALSE,"Drama ","Envisaging Productions ","","en,","US ","","Logan Binstock ",0,0,0,0,0,0,2017-05-08,"2017",0,0,92503612,7000,102,0.6,5.9,0,2,16,2,5,7.5,8,1321380.17142857,1,0,0,45072822.2708924,45072822.2708924,"19",103,1,56027727.4550265,40402872.3565217,8,0,388.888888888889
