,X,original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,Imdb_Rating,Imdb_vote_count,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,keywords,cast_size,crew_size,director,moreThan1ProductionCountry,moreThan1Genre,moreThan1ProductionCompany,moreThan1Keyword,moreThan1Director,moreThanSpokenLanguage
21123,21123,Tomb Raider,en,FALSE,94000000,/bLJTjfbZ1c5zSNiAvGYs1Uc82ir.jpg,http://www.tombraidermovie.com/,338970,tt1365519,6.3,188903,34.656,/ePyN2nX9t8SOl70eRW47Q29zUFO.jpg,3/5/2018,274650803,118,Released,Her legend begins,Tomb Raider,FALSE,6.3,5729,Action ,Square Enix ,,"en,",GB ,5,island ,36,274,Roar Uthaug ,1,1,1,1,0,0
21124,21124,12 Strong,en,FALSE,35000000,/x5EUEv1N9g4BCX9GQXKvv3nqMVo.jpg,https://12strongmovie.com,429351,tt1413492,6.6,66818,42.356,/j18021qCeRi3yUBtqd2UFj1c0RQ.jpg,1/16/2018,67450815,130,Released,The declassified true story of the horse soldiers,12 Strong,FALSE,6,1970,Drama ,Torridon Films ,,"en,",US ,1,cia ,52,149,Nicolai Fuglsig ,0,1,1,1,0,0
21126,21126,"Paul, Apostle of Christ",en,FALSE,5000000,/euAMcJLG26pW1kv4kPEtVEwwroQ.jpg,http://www.paulmovie.com/,476968,tt7388562,6.6,7165,43.268,/2NUXG94dGMKYgJL1BkJGKynMb3l.jpg,3/23/2018,22525668,108,Released,Where sin abounds... grace abounds more,"Paul, Apostle of Christ",FALSE,6.9,155,History ,Outside Da Box ,,"es,en,",US ,0,roman empire ,25,15,Andrew Hyatt ,0,1,1,1,0,1
21127,21127,Insidious: The Last Key,en,FALSE,10000000,/PwI3EfasE9fVuXsmMu9ffJh0Re.jpg,http://www.insidiousmovie.com,406563,tt5726086,5.7,51892,57.971,/nb9fc9INMg8kQ8L7sE7XTNsZnUX.jpg,1/3/2018,167184112,118,Released,Fear comes home.,Insidious: The Last Key,FALSE,6.2,1886,Horror ,Stage 6 Films ,Insidious Collection,"en,",US ,1,medium ,23,24,Adam Robitel ,0,1,1,1,0,0
21128,21128,God's Not Dead: A Light in Darkness,en,FALSE,0,/gGBE24xD5NdMqvkJJEzP04jtFG9.jpg,,454286,tt6652708,4.5,3311,38.621,/1MwoZ4U8SGm7yIzfPFcTTbiiOYY.jpg,3/30/2018,5728940,105,Released,,God's Not Dead: A Light in Darkness,FALSE,6.9,104,Drama ,Pure Flix Productions ,God's Not Dead Collection,"en,",US ,0,church ,15,13,Michael Mason ,0,0,0,1,0,0
21130,21130,The Hurricane Heist,en,FALSE,35000000,/3ZQRLuXNTbewOHDfxF51fy74gh4.jpg,https://www.lionsgate.com/movies/the-hurricane-heist,430040,tt5360952,5.1,18770,28.906,/rAmcj5IZcx59dhev3UnVDEGlImK.jpg,2/28/2018,32517248,103,Released,The storm of the century... the heist of a lifetime.,The Hurricane Heist,FALSE,5.7,705,Action ,Windfall Productions ,,"en,",US ,2,hurricane ,15,123,Rob Cohen ,0,1,1,1,0,0
21131,21131,Annihilation,en,FALSE,40000000,/5zfVNTrkhMu673zma6qhFzG01ig.jpg,http://annihilationmovie.com,300668,tt2798920,6.8,277753,35.694,/d3qcpfNwbAMCNqWDHzPQsUYiUgS.jpg,2/22/2018,43070915,115,Released,Fear what's inside.,Annihilation,FALSE,6.3,6115,Science Fiction ,DNA Films ,,"en,",GB ,4,coma ,22,153,Alex Garland ,1,1,1,1,0,0
21132,21132,Overboard,en,FALSE,12000000,/fcStpdmeXB6ZGY2PBovpyyMRclB.jpg,,454619,tt1563742,6,33985,32.418,/qauHzSQJdo9VYX4NKn9PdWnvXOV.jpg,5/3/2018,91244913,112,Released,A riches to rags story. If only he could remember it.,Overboard,FALSE,6.6,939,Romance ,Pantelion Films ,,"en,fr,no,es,",US ,0,amnesia ,53,34,Rob Greenberg ,0,1,1,1,0,1
21133,21133,I Can Only Imagine,en,FALSE,7000000,/AjtQdUX41skfo8tthtrnJZI9bXV.jpg,http://icanonlyimagine.com,470878,tt6450186,7.3,14038,28.348,/veZszwMZu8d3WMU6TJX9sV5w1Y4.jpg,2/14/2018,86026201,110,Released,The Song You Know. The Story You Don't.,I Can Only Imagine,FALSE,7.4,256,Music ,Kevin Downes Productions ,,"en,pt,",US ,3,,25,16,Andrew Erwin ,0,1,1,0,0,1
21135,21135,A Prayer Before Dawn,en,FALSE,0,/tyaVwOLIpAzZFP0qmXm2VZhYkxZ.jpg,http://prayerbeforedawn.movie,448776,tt4080956,6.9,20294,30.794,/qgdOZEnEqnbroqHoslGJSFSKl9R.jpg,5/24/2018,958883,116,Released,The fight starts from inside,A Prayer Before Dawn,FALSE,6.8,336,Drama ,Meridian Entertainment ,,"en,pt,th,",KH ,0,prison ,11,25,Jean-Stéphane Sauvaire ,1,1,1,1,0,1
21136,21136,I Kill Giants,en,FALSE,15100000,/lffgWEBiLf9DbDdb86WsGsEcWTg.jpg,,419831,tt4547194,6.1,25881,27.199,/cvit6HDbXHE6W5kGPd47jd0wthQ.jpg,1/21/2018,0,106,Released,"I find giants, I hunt giants",I Kill Giants,FALSE,6.1,841,Drama ,XYZ Films ,,"en,",BE ,2,monster ,13,70,Anders Walter ,1,1,1,1,0,0
21137,21137,Den of Thieves,en,FALSE,30000000,/s3FDBLH4qc1IcjexB05Qvbn3wxO.jpg,http://stxfilms.com/denofthieves/,449443,tt1259528,7,91668,36.076,/AfybH6GbGFw1F9bcETe2yu25mIE.jpg,1/18/2018,80509622,140,Released,You're not the bad guys. We are.,Den of Thieves,FALSE,6.7,1873,Action ,Atmosphere Entertainment MM ,,"en,",US ,3,detective ,22,182,Christian Gudegast ,0,1,1,1,0,0
21138,21138,Mary Magdalene,en,FALSE,0,/hvdRLJSKy2a3Ulzrl1Wlnqq2pKZ.jpg,http://www.marymagdalenefilm.co.uk,407439,tt5360996,5.9,8439,33.674,/7IBGsaUXMol2K8I1BTBgxEBuS6y.jpg,3/15/2018,10940439,120,Released,Her story will be told,Mary Magdalene,FALSE,6.3,354,History ,See-Saw Films ,,"en,fr,",US ,1,bible ,27,73,Garth Davis ,1,1,1,1,0,1
21139,21139,Death Wish,en,FALSE,30000000,/uQqQvmptJLPTcWDrZXn22p7j7s3.jpg,https://www.deathwish.movie/,395990,tt1137450,6.3,63258,30.022,/g0eEEZAqMf98ULQnoiORuazjOpn.jpg,3/2/2018,34017028,107,Released,How Far Would You Go To Protect Your Family?,Death Wish,FALSE,6.1,1796,Action ,Metro-Goldwyn-Mayer ,,"en,",US ,4,robbery ,28,94,Eli Roth ,0,1,1,1,0,0
21140,21140,A Wrinkle in Time,en,FALSE,103000000,/zqUaMojohr96itJYCE3W1NauTn7.jpg,http://movies.disney.com/a-wrinkle-in-time,407451,tt1620680,4.2,40705,31.06,/yAcb58vipewa1BfNit2RjE6boXA.jpg,3/8/2018,132675864,109,Released,Be a warrior,A Wrinkle in Time,FALSE,5.1,1386,Adventure ,Whitaker Entertainment ,,"en,",US ,2,based on novel or book ,38,39,Ava DuVernay ,0,1,1,1,0,0
21141,21141,Red Sparrow,en,FALSE,69000000,/sGzuQYSTwJvLBc2PnuSVLHhuFeh.jpg,https://www.foxmovies.com/movies/red-sparrow,401981,tt2873282,6.6,163658,34.136,/oy6EYWzTwcIMjQYTS6uXS7JXGOx.jpg,2/28/2018,151572634,140,Released,Seduce. Deceive. Repeat.,Red Sparrow,FALSE,6.5,4448,Mystery ,Soundtrack New York ,,"en,",US ,3,cia ,39,152,Francis Lawrence ,0,1,1,1,0,0
21142,21142,The Commuter,en,FALSE,30000000,/clmYuR1t4TtKcakIOvYIPrjyxDc.jpg,https://thecommuter.movie/,399035,tt1590193,6.3,102359,30.164,/rDeGK6FIUfVcXmuBdEORPAGPMNg.jpg,1/11/2018,119942387,104,Released,Lives are on the line,The Commuter,FALSE,6.3,3209,Action ,StudioCanal ,,"en,",US ,2,conspiracy ,60,105,Jaume Collet-Serra ,1,1,1,1,0,0
21143,21143,Kickboxer: Retaliation,en,FALSE,13000000,/nTH63dIC9D9lWhQlvCu4zSoESKj.jpg,http://www.kickboxervengeance.com/kickboxer2,447665,tt5208950,5,4558,33.171,/oMWP4cAoy8WBauuKZAVTIfuY3Fw.jpg,1/26/2018,4537,110,Released,,Kickboxer: Retaliation,FALSE,5.4,176,Action ,Our House Films ,Kickboxer (Reboot) Collection,"en,",US ,0,,40,28,Dimitri Logothetis ,0,1,1,0,0,0
21145,21145,"Love, Simon",en,FALSE,17000000,/rqMEeajyzSF4PpJtdCB816Iz8Vr.jpg,https://LoveSimonMovie.com,449176,tt5164432,7.6,96877,33.544,/5YUYg5q7QfC4IoNwNUtiwdiYKPr.jpg,2/16/2018,66316289,110,Released,He's done keeping his story straight.,"Love, Simon",FALSE,8.2,4621,Comedy ,Temple Hill Entertainment ,"Con amor, Simon - Colección","en,",US ,2,sexual identity ,58,38,Greg Berlanti ,0,1,1,1,0,0
21147,21147,Truth or Dare,en,FALSE,3500000,/jrZTNZmcjUVh7DPy6txp93Aczpa.jpg,http://www.blumhousestruthordare.com,460019,tt6772950,5.2,47286,33.695,/ei2waWQAG8NP244WShIFgGu9IOu.jpg,4/12/2018,95330493,100,Released,"First you play the game, then the game plays you.",Truth or Dare,FALSE,6,2927,Thriller ,Blumhouse Productions ,,"en,",US ,2,mexico ,34,65,Jeff Wadlow ,0,1,1,1,0,0
21148,21148,Early Man,en,FALSE,50000000,/9m71RMP45mg599xtKPyjicyHn1a.jpg,https://earlymanmovie.com/,387592,tt4701724,6.1,19226,22.432,/hXukFwTKOe7izDsf3ZOdeYikRxF.jpg,1/26/2018,53431158,89,Released,Time to test their metal,Early Man,FALSE,6.1,521,Family ,Aardman Animations ,,"en,",FR ,1,stone age ,23,40,Nick Park ,1,1,1,1,0,0
21151,21151,Traffik,en,FALSE,4000000,/wbk9VvJ8lkUF0ElpfRm3dFIzMJf.jpg,http://traffikofficial.com/,473149,tt5670152,6,18438,27.307,/jwsmeU8mYEP6GpxJ2sbCzc2MQmi.jpg,4/20/2018,5132274,96,Released,Refuse to Be a Victim,Traffik,FALSE,6.2,331,Thriller ,Hidden Empire Film Group ,,"en,",US ,1,corruption ,17,4,Deon Taylor ,0,1,1,1,0,0
21152,21152,Midnight Sun,en,FALSE,0,/9T8sj5io4SGCBTHsk5H8LGcfKVe.jpg,http://midnightsunmov.com/,419478,tt4799066,6.6,23119,27.861,/vPG2zEKPXhovPW9S91SRnwr5JM1.jpg,3/22/2018,27365467,91,Released,Love will light the way.,Midnight Sun,FALSE,7.8,2598,Romance ,Boies/Schiller Film Group ,,"en,",US ,1,seattle ,35,31,Scott Speer ,0,1,1,1,0,0
21153,21153,Black Water,en,FALSE,4000000,/vnrw2TT4dbSUNkX5oKrQqiikB3i.jpg,,454615,tt5622412,4.7,4293,26.185,/tIcZAB5AmRN8fIDXfDZ2aUok9qa.jpg,5/18/2018,0,105,Released,Some secrets never surface,Black Water,FALSE,5.6,157,Action ,Dawn's Light ,,"en,",CA ,1,submarine ,36,37,Pasha Patriki ,0,1,1,1,0,0
21155,21155,The Jurassic Games,en,FALSE,28000000,/bAL2HPdIra64LM365lpUl15bQTm.jpg,,504982,tt6710826,3.8,2187,32.496,/4iXYZgB0VZyPvjBfEY0f2VTMDqa.jpg,5/21/2018,0,86,Released,Win the games. Win your freedom.,The Jurassic Games,FALSE,4.4,92,Science Fiction ,High Octane Pictures ,,"en,",US ,1,death row ,36,35,Ryan Bellgardt ,0,1,0,1,0,0
21158,21158,Peter Rabbit,en,FALSE,50000000,/vBIvSqbSNbABqAqP92utXzSXUhE.jpg,http://www.peterrabbit-movie.com,381719,tt5117670,6.6,34815,28.028,/2yjSvEDuM3rLDng40erLsWkQRfn.jpg,2/7/2018,351266433,93,Released,Who said the countryside was peaceful?,Peter Rabbit,FALSE,6.7,1079,Animation ,Columbia Pictures ,Peter Rabbit Collection,"en,",US ,1,human animal relationship ,28,15,Will Gluck ,0,1,1,1,0,0
21159,21159,Game Night,en,FALSE,37000000,/4hU1pC7MGQ7wU9ldkRJYNHK3vgb.jpg,http://www.gamenight-movie.com/,445571,tt2704998,6.9,204349,29.142,/85R8LMyn9f2Lev2YPBF8Nughrkv.jpg,2/22/2018,117501013,100,Released,This is not a game,Game Night,FALSE,6.8,4075,Mystery ,New Line Cinema ,,"en,",US ,1,husband wife relationship ,59,77,Jonathan M. Goldstein ,0,1,1,1,0,0
21160,21160,Batman: Gotham by Gaslight,en,FALSE,1000000,/9ojJB7vZR2uDqXdxOzYaADthEBT.jpg,https://www.warnerbros.com/batman-gotham-gaslight,471474,tt7167630,6.7,13227,23.159,/7souLi5zqQCnpZVghaXv0Wowi0y.jpg,1/12/2018,3469151,78,Released,"As the Ripper stalks Gotham City, the Dark Knight reveals the face of terror.",Batman: Gotham by Gaslight,FALSE,6.6,435,Thriller ,Warner Bros. Animation ,,"en,pt,es,",US ,1,dc comics ,15,15,Sam Liu ,0,1,1,1,0,1
21161,21161,Anon,en,FALSE,20000000,/uugcOIfnh8Gz0nxUbduWCoxjWct.jpg,https://www.netflix.com/title/80195964,396806,tt5397194,6.1,36986,26.612,/xhBTO9n3fxy3HJt7WlR9h9vvVmk.jpg,5/3/2018,0,100,Released,Anonymity is the enemy,Anon,FALSE,5.9,1017,Science Fiction ,K5 Film ,,"en,",US ,4,detective ,42,35,Andrew Niccol ,1,0,1,1,0,0
21165,21165,Samson,en,FALSE,0,/yR6952VuJ2OchliEj0vyRxFZiBT.jpg,http://samsonmovie.pureflix.com/,474392,tt6951892,4.4,4143,30.446,/v7Zaj1IEzMMB7KzfglpxdXWB66u.jpg,2/16/2018,4873825,110,Released,Chosen. Betrayed. Redeemed.,Samson,FALSE,5.8,158,Action ,Pure Flix Entertainment ,,"en,",US ,1,bible ,13,48,Bruce MacDonald ,0,1,1,1,0,0
21170,21170,Lego DC Comics Super Heroes: The Flash,en,FALSE,10000000,/1BAjSZoB2oyGsPSjGSJE0k4hf8e.jpg,https://www.warnerbros.com/lego-dc-super-heroes-flash,504997,tt7877382,6.4,1439,24.548,/u27j3CiMEtNdDRleYwnruQ5Ktkm.jpg,2/13/2018,0,78,Released,,Lego DC Comics Super Heroes: The Flash,FALSE,6.7,124,Adventure ,Warner Bros. Animation ,LEGO DC Comics Super Heroes Collection,"en,",US ,1,flash ,15,11,Ethan Spaulding ,0,1,1,0,0,0
21172,21172,Every Day,en,FALSE,4900000,/hcoeD3oLP7t2dwMK7mnRAUkUxWS.jpg,http://www.seeeveryday.com/,465136,tt7026672,6.4,18179,24.01,/4UnME3icxSspwL0UoGZNSyyp7Xs.jpg,2/22/2018,6102076,97,Released,Every day a different body. Every day a different life. Every day in love with the same girl.,Every Day,FALSE,7.2,1756,Drama ,FilmWave ,,"en,",US ,0,based on novel or book ,31,48,Michael Sucsy ,0,1,1,1,0,0
21176,21176,Blockers,en,FALSE,21000000,/bUcHY7CrYWieikW8fFkL3Dxnt4H.jpg,https://www.uphe.com/movies/blockers,437557,tt2531344,6.2,70762,23.427,/uvlUQXg0AlpGzKukO11K7QtW3Yu.jpg,3/14/2018,94017294,102,Released,Teens out to have fun. Parents out to stop it.,Blockers,FALSE,6.3,1426,Comedy ,Hurwitz & Schlossberg Productions ,,"en,",US ,1,parent child relationship ,34,93,Kay Cannon ,0,0,1,1,0,0
21179,21179,Sherlock Gnomes,en,FALSE,59000000,/jVUR1W6cq8VuT4A6N4fd2yDNhji.jpg,https://www.paramount.com/movies/sherlock-gnomes,370567,tt2296777,5.2,10257,20.675,/wqnzpJR3PwS4doVkAkt9seSEpoX.jpg,3/15/2018,87625666,86,Released,They're on a mission to bring every gnome home.,Sherlock Gnomes,FALSE,5.6,510,Animation ,Rocket Pictures ,Gnomeo & Juliet Collection,"en,",GB ,1,sequel ,17,32,John Stevenson ,1,1,1,1,0,0
21182,21182,The 15:17 to Paris,en,FALSE,30000000,/gkkBhctHPGg8hrmtWbO3ySZoj4z.jpg,http://www.1517toparis.com/,453201,tt6802308,5.3,28959,23.281,/qxJQ0VBCuJkJhJmuWzxI408ngwd.jpg,2/2/2018,57076286,94,Released,In the face of fear ordinary people can do the extraordinary,The 15:17 to Paris,FALSE,5.4,1183,History ,Warner Bros. Pictures ,,"en,",US ,1,paris ,25,165,Clint Eastwood ,0,1,1,1,0,0
21185,21185,映画 中二病でも恋がしたい! -Take On Me-,ja,FALSE,0,/m5DxRZhJO7aluDyHW40M8cEBZAv.jpg,http://www.anime-chu-2.com/,460399,tt6915208,7.3,469,24.451,/grlNqxlne3pRBB5kvEc2aHtrSKv.jpg,1/6/2018,1822043,94,Released,,"Love, Chunibyo & Other Delusions! Take On Me",FALSE,7.4,22,Animation ,Kyoto Animation ,中二病でも恋がしたい!,"ja,",JP ,0,romance ,5,9,Tatsuya Ishihara ,0,1,1,1,0,0
21188,21188,Adrift,en,FALSE,35000000,/64jAqTJvrzEwncD3ARZdqYLcqbc.jpg,,429300,tt6306064,6.6,46488,26.131,/5gLDeADaETvwQlQow5szlyuhLbj.jpg,5/31/2018,4230000,96,Released,,Adrift,FALSE,6.8,1912,Thriller ,STX Entertainment ,,"en,",HK ,0,sailboat ,12,163,Baltasar Kormákur ,1,1,1,1,0,0
21191,21191,7 Days in Entebbe,en,FALSE,0,/er6vh4AXzkRiXfLXSvn2eHXuxbp.jpg,http://www.focusfeatures.com/7-days-in-entebbe,433627,tt5466186,5.8,13594,23.892,/nrC63ikbK4jDp3knvBqxPoWYEMM.jpg,3/15/2018,9196740,107,Released,"248 passengers were held hostage. For seven days, the world was held captive.",7 Days in Entebbe,FALSE,5.8,280,Thriller ,Participant Media ,,"ar,en,fr,he,de,",GB ,2,israel ,53,98,José Padilha ,1,1,1,1,0,1
21192,21192,Isle of Dogs,en,FALSE,62770198,/dkk1wFBDhPzLXPwVmHTRzny3rkX.jpg,http://www.isleofdogsmovie.com/,399174,tt5104604,7.9,136567,21.576,/c0nUX6Q1ZB0P2t1Jo6EeFSVnOGQ.jpg,3/23/2018,64241499,101,Released,Welcome to the Isle of Dogs.,Isle of Dogs,FALSE,7.9,3105,Adventure ,Studio Babelsberg ,,"en,ja,",DE ,1,japan ,49,46,Wes Anderson ,1,1,1,1,0,1
21194,21194,The Strangers: Prey at Night,en,FALSE,12500000,/9sttwstzZSYxGgrTEiNUsze0UZi.jpg,http://aviron.com/films/strangers.php,371608,tt1285009,5.2,26820,19.331,/vdxLpPsZkPZdFrREp7eSeSzcimj.jpg,3/7/2018,31039126,85,Released,Let us prey,The Strangers: Prey at Night,FALSE,5.5,926,Horror ,Aviron Pictures ,The Strangers Collection,"en,",US ,2,road trip ,13,91,Johannes Roberts ,0,1,1,1,0,0
21200,21200,Forever My Girl,en,FALSE,3500000,/tUJTaWlDbdC5kTov5zFVCWfCzGO.jpg,http://www.forevermygirlthemovie.com,417261,tt4103724,6.7,14353,18.587,/bKqdggnIPeOI15VqtBZTkvh4hA9.jpg,1/26/2018,16367326,104,Released,Find your way back home,Forever My Girl,FALSE,7.6,768,Romance ,LD Entertainment ,,"en,",US ,0,second chance ,23,15,Bethany Ashton Wolf ,0,1,0,1,0,0
21204,21204,Astérix - Le Secret de la Potion Magique,fr,FALSE,0,/9cPMIuB2tv4IP0LbeNhrK5OyDy5.jpg,https://www.asterix.com/en/asterix-at-the-movies/animated-films/asterix-the-secret-of-the-magic-potion/,527729,tt8001346,6.7,7865,21.884,/wmMq5ypRNJbWpdhC9aPjpdx1MMp.jpg,5/12/2018,45631901,85,Released,,Asterix: The Secret of the Magic Potion,FALSE,6.9,813,Animation ,M6 Studio ,Asterix and Obelix (Animation) Collection,"fr,",FR ,0,,37,20,Louis Clichy ,0,1,1,0,0,0
21205,21205,Tag,en,FALSE,28000000,/yRXzrwLfB5tDTIA3lSU9S3N9RUK.jpg,http://www.tagthemovie.com,455980,tt2854926,6.5,112228,21.933,/eXXpuW2xaq5Aen9N5prFlARVIvr.jpg,5/30/2018,75100000,100,Released,Based on  a true story. We’re not kidding.,Tag,FALSE,6.7,2005,Comedy ,New Line Cinema ,,"en,",US ,1,based on a true story ,71,23,Jeff Tomsic ,0,1,1,1,0,0
21207,21207,За гранью реальности,ru,FALSE,0,/1btUYcOIfh5JrKPhLh2HlbzsgCa.jpg,,497727,tt5629524,4.5,2744,15.903,/kwMJqbY9jzFOf3g7UgAquMRt8kF.jpg,3/1/2018,2244848,101,Released,,Beyond the Edge,FALSE,5.6,104,Adventure ,Ares Film ,,"ru,",RU ,0,beyond reality ,12,20,Francesco Cinquemani ,0,1,1,1,0,0
21208,21208,Charming,en,FALSE,20000000,/rTefIDfreT1kcjuld8K1wgI3ifp.jpg,https://www.3qumedia.com/charming,354279,tt4086018,5.6,2235,19.391,/xizxQjNw7gbstkU9YIi2NaZIXW3.jpg,4/20/2018,8751856,90,Released,,Charming,FALSE,6.3,118,Comedy ,3QU Media ,,"en,",US ,0,prince ,20,24,Ross Venokur ,0,1,1,1,0,0
21209,21209,Sgt. Stubby: An American Hero,en,FALSE,25000000,/4pEbf7P2xlifhNmwAemcdAbomyZ.jpg,https://www.stubbymovie.com/,433694,tt5314190,6.9,1908,18.086,/l7MiBAz8QlqKPuUfH5Uxxjo33AT.jpg,4/13/2018,0,85,Released,The incredible true story of America's top underdog,Sgt. Stubby: An American Hero,FALSE,7.2,75,Animation ,Fun Academy Media Group ,,"en,de,fr,",CA ,0,paris ,6,21,Richard Lanni ,1,1,1,1,0,1
21210,21210,When We First Met,en,FALSE,10000000,/cuQFfMrTLFZkMFFt6InMhUikRna.jpg,https://www.netflix.com/title/80117531,433310,tt5783956,6.4,41933,16.075,/u5VJ1XmPRUWNz9l0mP2rHmkUuvQ.jpg,2/9/2018,0,97,Released,All he needs is a second chance... to be her first choice.,When We First Met,FALSE,6.6,1839,Comedy ,Long Road Productions ,,"en,",US ,1,time travel ,23,23,Ari Sandel ,0,1,1,1,0,0
21213,21213,The Gateway,en,FALSE,1328931,/gP8zfI4SEyzg5UQiFQNxikpoUm1.jpg,http://alphagatewaymovie.com,472744,tt6179746,5.4,3914,18.65,/3Gp2lj5jnP08Sie6j0gNL3zfiSE.jpg,5/3/2018,0,90,Released,What would you do for love?,The Gateway,FALSE,5.4,29,Science Fiction ,Filmscope Entertainment ,,"en,",AU ,1,time travel ,7,7,John V. Soto ,0,0,1,1,0,0
21214,21214,Winchester,en,FALSE,3500000,/d4wnMDSrQonB9iArMzd90WqaoJ4.jpg,https://www.winchestermovie.com/,416234,tt1072748,5.4,30209,16.226,/tHDtskokZeO9B3JBdR1dSH0uqad.jpg,2/2/2018,44019588,100,Released,Terror is building,Winchester,FALSE,5.9,1307,Fantasy ,Imagination Design Works ,,"en,",AU ,1,drug addiction ,21,34,Peter Spierig ,1,1,1,1,0,0
21216,21216,Life of the Party,en,FALSE,30000000,/5uayF96i4JWtdNH3uJy5IpImDBT.jpg,http://www.lifeoftheparty-movie.com/,399796,tt5619332,5.6,33297,17.328,/749iUAWQWeutQuTd9excjmigecw.jpg,5/10/2018,61700416,105,Released,Give life the old college try.,Life of the Party,FALSE,6.2,691,Comedy ,On the Day ,,"en,",US ,2,housewife ,32,6,Ben Falcone ,0,0,1,1,0,0
21217,21217,7 Guardians of the Tomb,en,FALSE,0,/2CjY7TiNDKhuI0rk8K0Vq0UvIHZ.jpg,http://www.arclightfilms.com/NewTitles.aspx?ProjectId=c5f748bb-7598-e111-ba52-5296b839ed91&bu=Arclight,409582,tt4915672,4.4,3219,14.367,/lBW7Aq7RzsFbrnmn9RCkpd6GbXf.jpg,1/19/2018,7910928,90,Released,Unearth the legend. Unleash the curse.,7 Guardians of the Tomb,FALSE,5.3,127,Action ,Grand Canal Pictures ,,"zh,en,",AU ,0,china ,19,72,Kimble Rendall ,1,1,1,1,0,1
21219,21219,Breaking In,en,FALSE,6000000,/aEitmeLoFACS2hUEJSo1cDyWosn.jpg,https://www.breakinginmovie.com/,497814,tt7137846,5.4,14045,17.955,/nuCxJwcQOEKYoiHTgcf4em8TxWv.jpg,5/5/2018,49078000,88,Released,Payback is a mother.,Breaking In,FALSE,5.9,443,Thriller ,Will Packer Productions ,,"en,",US ,1,mother ,10,87,James McTeigue ,0,1,1,1,0,0
21221,21221,Acrimony,en,FALSE,20000000,/qTGhOP8eFA5tjn4Lka4UVfDv1Zb.jpg,https://www.acrimony.movie/,464502,tt6063050,5.8,7772,16.74,/upURIW6jeEcTJKpaJeoNw5jbcr1.jpg,3/30/2018,34764055,120,Released,Hell Hath No Fury,Acrimony,FALSE,6.6,234,Thriller ,Tyler Perry Studios ,,"en,",US ,1,revenge ,13,7,Tyler Perry ,0,0,0,1,0,0
21222,21222,The Endless,en,FALSE,1000000,/zX0pEwk0zDnS85Nxl1hI6h6dfFu.jpg,https://www.theendless-movie.com/,430231,tt3986820,6.5,32793,13.182,/49sb3kEZplzudQBhJDSt0mNJm4V.jpg,4/6/2018,956425,112,Released,,The Endless,FALSE,6.3,559,Science Fiction ,Snowfort Pictures ,,"en,",US ,1,suicide ,15,30,Justin Benson ,0,1,1,1,0,0
21223,21223,I Feel Pretty,en,FALSE,32000000,/3Zb4Du20mvKl0jlOtQ6lCFhpiiT.jpg,https://www.ifeelpretty.movie/,460668,tt6791096,5.5,48407,18.919,/rmP8b6vxbpK1sPinnUqXHKq0VkT.jpg,4/19/2018,94539426,111,Released,Change everything Without changing anything.,I Feel Pretty,FALSE,6.4,1597,Comedy ,Wonderland Sound and Vision ,,"en,",CN ,0,confidence ,41,21,Marc Silverstein ,1,1,1,1,0,0
21228,21228,Tully,en,FALSE,0,/4Hsk6Rh2kpUTmlnsjxMiXWiPBSb.jpg,http://www.focusfeatures.com/tully,400579,tt5610554,7,52188,13.133,/wDI4YXBXolMYi15Qx2kClvdSERM.jpg,5/4/2018,15636462,96,Released,See how the mother half lives.,Tully,FALSE,6.8,971,Drama ,Bron Studios ,,"en,",US ,1,new york city ,33,51,Jason Reitman ,0,0,1,1,0,0
21229,21229,Show Dogs,en,FALSE,5500000,/pk1zexoUCtjFs761W48QyIPzwCj.jpg,http://showdogs-movie.com,425148,tt5691024,3.8,4161,14.865,/2dvxCBUfDG2cAdkA921rERxhtcp.jpg,5/10/2018,38830219,92,Released,Unleashed and undercover,Show Dogs,FALSE,5.8,135,Adventure ,Riverstone Pictures ,,"en,hu,",US ,0,undercover ,25,14,Raja Gosnell ,0,1,1,1,0,1
21230,21230,버닝,ko,FALSE,7280000,/v6eOq707lwWFIG96Rv9sSR6lnnT.jpg,https://www.burning-movie.com/,491584,tt7282468,7.5,47675,15.113,/4NScXB4cx4cjN8hBF6Rh8OvAdAc.jpg,5/17/2018,6591038,148,Released,The truth is all in your head.,Burning,FALSE,7.4,831,Mystery ,Pinehouse Film ,,"ko,en,",KR ,2,love triangle ,15,30,Lee Chang-dong ,0,1,1,1,0,1
21231,21231,In Darkness,en,FALSE,0,/uxWFYm8pTzaUARJZMZGigkObqmn.jpg,,417643,tt5164184,5.8,11938,13.321,/A4gJEE1zpImXE8MYkeq4sB69mfZ.jpg,5/25/2018,217427,100,Released,Fear Blinds the Truth,In Darkness,FALSE,6,319,Thriller ,42,,"en,ru,sh,",GB ,1,london ,29,23,Anthony Byrne ,1,1,0,1,0,1
